"filename", "language", "JavaScript", "JavaScript JSX", "XML", "JSON", "Markdown", "PostCSS", "HTML", "comment", "blank", "total"
"f:\SocialApp\README.md", "Markdown", 0, 0, 0, 0, 61, 0, 0, 0, 20, 81
"f:\SocialApp\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"f:\SocialApp\index.html", "HTML", 0, 0, 0, 0, 0, 0, 17, 0, 2, 19
"f:\SocialApp\package-lock.json", "JSON", 0, 0, 0, 3409, 0, 0, 0, 0, 1, 3410
"f:\SocialApp\package.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"f:\SocialApp\public\icon.svg", "XML", 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"f:\SocialApp\src\App.jsx", "JavaScript JSX", 0, 100, 0, 0, 0, 0, 0, 1, 8, 109
"f:\SocialApp\src\context\AuthContext.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\SocialApp\src\context\ScreenSizeContext.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"f:\SocialApp\src\context\SearchContext.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"f:\SocialApp\src\context\ThemeContext.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 7, 28
"f:\SocialApp\src\features\authentication\LoginForm.jsx", "JavaScript JSX", 0, 133, 0, 0, 0, 0, 0, 0, 14, 147
"f:\SocialApp\src\features\authentication\SignupForm.jsx", "JavaScript JSX", 0, 161, 0, 0, 0, 0, 0, 0, 13, 174
"f:\SocialApp\src\features\authentication\useLogin.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"f:\SocialApp\src\features\authentication\useLogout.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 1, 4, 25
"f:\SocialApp\src\features\authentication\useSignup.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"f:\SocialApp\src\features\authentication\useUser.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"f:\SocialApp\src\features\discover\DiscoverCardBody.jsx", "JavaScript JSX", 0, 74, 0, 0, 0, 0, 0, 0, 11, 85
"f:\SocialApp\src\features\discover\DiscoverCardHeader.jsx", "JavaScript JSX", 0, 86, 0, 0, 0, 0, 0, 0, 1, 87
"f:\SocialApp\src\features\discover\DiscoverCardTail.jsx", "JavaScript JSX", 0, 62, 0, 0, 0, 0, 0, 0, 6, 68
"f:\SocialApp\src\features\discover\DiscoverUserCard.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"f:\SocialApp\src\features\discover\FollowButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\SocialApp\src\features\discover\Suggestions.jsx", "JavaScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 9, 50
"f:\SocialApp\src\features\discover\useFollow.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 8, 49
"f:\SocialApp\src\features\discover\useSearchUsers.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"f:\SocialApp\src\features\discover\useSuggestedUsers.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"f:\SocialApp\src\features\discover\useUserProfile.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"f:\SocialApp\src\features\messaging\ChatHeader.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 0, 0, 10, 119
"f:\SocialApp\src\features\messaging\ChatWindow.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 8, 55
"f:\SocialApp\src\features\messaging\ConversationItem.jsx", "JavaScript JSX", 0, 77, 0, 0, 0, 0, 0, 0, 11, 88
"f:\SocialApp\src\features\messaging\ConversationsList.jsx", "JavaScript JSX", 0, 75, 0, 0, 0, 0, 0, 0, 7, 82
"f:\SocialApp\src\features\messaging\MessageBubble.jsx", "JavaScript JSX", 0, 118, 0, 0, 0, 0, 0, 0, 11, 129
